user_url,user_description,following_count,followers_count,posts_amount
https://x.com/BillTJr6,Self reliant at BlackHeart Farms,250 Following,"2,923 Followers",30.7K posts
https://x.com/__C0ldbrew__,Mama. Wife. American. Dragon Believer. 🇺🇸,673 Following,438 Followers,590 posts
https://x.com/Trump716,Police Officer 👮‍♀️  🚓  🚔  🚨 American Patriot. 🇺🇸 🇮🇱 🇺🇸 MAKE AMERICA GREAT AGAIN 🇺🇸 🇮🇱 🇺🇸,"3,134 Following",98.7K Followers,11.4K posts
https://x.com/LewisIsRacist,,79 Following,56 Followers,"1,069 posts"
https://x.com/Techrev_9999,"Disabled/Retired
Senior Systems Engineer and Technical lead
Verizon

Previously - Director of MIS
Psychiatric Hospitals of America Inc.

Gamer hobbyist/modder",162 Following,125 Followers,"4,170 posts"
https://x.com/_pieke,"Ready for some cosmic irony. Remember, question authority. Everything is up for debate, including your existence.",294 Following,"2,383 Followers",33.2K posts
https://x.com/DePropaPanda,"Let's expose propaganda in media but also share what we LOVE! 
We can do both 🐼  #IFBAP  🇺🇸 1A 📣 2A 🔫 👌 Writer / Poet / Musical Panda 🐼","2,956 Following","3,247 Followers",13.8K posts
https://x.com/thateguy117,"Here for kicks, liberal tears, and to see where this site takes me. Married, Father, believer in God. Let's get it!","1,800 Following","1,947 Followers","3,398 posts"
https://x.com/Mandalore_16th,"Silesia Superior, Regnum Poloniae.
Katolik, monarchista, kapitalizm z Biblią w ręce. J 14,6.
Precz z komuną, precz z wyzyskiem!
Kretynów banuję bez ostrzeżenia.",134 Following,332 Followers,"3,518 posts"
https://x.com/PatriotPointman,Writer & Poet | Videos & Live Streams | America First Patriot | Honoring My Son's Legacy Through Service,33.2K Following,144.7K Followers,2.4M posts
https://x.com/AdamLowisz,"📢 Illinois chapter leader for .

Click follow and also follow my backup account  🙌 I'm not 's alt 😎","4,753 Following",26K Followers,106.2K posts
https://x.com/1_jcharles,Pertinacious. Passive income. 💵  #1A 📢  #2A 🔫  🇺🇸  #MAGA 🇺🇸  $btc  $xrp  $doge,"3,236 Following","1,931 Followers","4,139 posts"
https://x.com/ModuleLuna75519,,334 Following,688 Followers,"2,638 posts"
https://x.com/vpopulimedia,"""There is a story in every human""",425 Following,11.5K Followers,"2,837 posts"
https://x.com/ManuelWisotzky,"A passionate lover of coffee, wine, great food, and all the good things in life. At home on three continents.","4,046 Following","4,738 Followers",46.1K posts
https://x.com/Josephfrankenf1,Time is $… I’m really someone else… life’s a simulation… on another level… NYG all day everyday!!!! PROUD AMERICAN!!!!MAGA 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸,204 Following,"1,521 Followers","7,123 posts"
https://x.com/BrotherNeves,Disciple of Jesus Christ 🇨🇦  🇺🇲 Liberty and Virtue,159 Following,692 Followers,"3,876 posts"
https://x.com/Womnrespecter88,"Respecter of women. Sovereign of the moon. Fanatic incel. TRVECEL.
Donate Bitcoin:
bc1q20uh50r96mphlv6pq4l8u6359a30jsma8wg346","3,634 Following",755 Followers,"9,600 posts"
https://x.com/nixongroyper,Not affiliated with the Richard Nixon Foundation.,970 Following,"2,572 Followers","9,765 posts"
https://x.com/Nurglefudge,,76 Following,10 Followers,849 posts
https://x.com/KentkurBerat,,396 Following,119 Followers,15 posts
https://x.com/lynds_lynds84,"The more Wisdom you attain and the more Conscious you become, the crazier you will appear to others!","3,242 Following","1,848 Followers",18K posts
https://x.com/Elevate_JRiden,"Gen X woman, mother, and grandmother. Alive by the grace of God. 

   Every day this side of the grave is a good day 🙏 🇺🇸","8,561 Following","7,864 Followers",22.2K posts
https://x.com/hartgoat,Stuff and things. Possibly a ghost. Vanilla villain,"3,606 Following",275K Followers,116.7K posts
https://x.com/lcoopcooperl,Human (sheep/herd),554 Following,139 Followers,"1,497 posts"
https://x.com/tina_tampabay,"Happily married, Conservative, patriot, loving Florida!  No DMs please.","2,145 Following","2,287 Followers",12.2K posts
https://x.com/sourpatchlyds,Independent 🏴 'Veritatis vel nihil.' ⚖ 'My wife' - 'Mamamama' - Baby Liefje 'Rad' - Rogan 'Cool tats' - Jones 'Hard to push around' - Malice,"1,332 Following",215.3K Followers,62.7K posts
https://x.com/lampwright4,"YA and Fantasy Author, mother of four, wife of SF and Fantasy author John C. Wright,       

Fear not, for I am with thee. Isaiah 41:10

Let freedom reign.","5,802 Following","6,460 Followers",121K posts
https://x.com/proxcee,Unapologetically American | #MAGA 🇺🇸 | #2A absolutist | God and Country 🇺🇸 | Mostly Peaceful | Political Commentary | Conservative | PewPew enthusiast,21.3K Following,86.3K Followers,82.2K posts
https://x.com/CryptoWendyO,YouTube Shock Jock | TikTok | Bitcoin Crypto  | | CryptoWendyO@protonmail.com |,921 Following,407.8K Followers,50.1K posts
https://x.com/Anti__Globalist,Aut Visum Aut Non.,162 Following,774 Followers,10.9K posts
https://x.com/simon4124,"Blocked by Owen Jones and Mo Ansar, Diane Abbott, Terry Christian and Dr Shola, Piers Morgan. Views are my own, if you don't like them block me!","2,705 Following","4,047 Followers",194.8K posts
https://x.com/IanMalcolm84,"Life, uh… finds a way.",197 Following,50.5K Followers,35.6K posts
https://x.com/_Lumiaaa_,"#Business Owner KKR Department Manager #Outdoor Sports 🏞 enthusiast. In my spare time, I like #Swimming 🏊‍♂️  #Golf ⛳️  #Cycling 🚴‍♀️  #Skiing 🎿  #Travel",533 Following,"1,601 Followers","1,529 posts"
https://x.com/lesnyxia46,"I'm an independent and I'm not Christian I'm an eclectic pagan, ProWhite",908 Following,"2,083 Followers",21.9K posts
https://x.com/Pismo_B,,54.6K Following,186.2K Followers,336.9K posts
https://x.com/JangledK,"America First Always! My Mom told me 40 yrs ago to SMILE SMILE at Mr Trump ;) She said to me, one day, he will be your President and Save the World!","8,744 Following",13.7K Followers,61.7K posts
https://x.com/RoyalEndeavour,"Hello, Endeavour here!",457 Following,"9,718 Followers","3,156 posts"
https://x.com/Thehumanrealist,"I'm sorry for your inability to handle the truth.

Pronouns are U,S,A

                      FREEDOM OF SPEECH RULES SUPREME #AMERICAFIRST  🇺🇸",615 Following,943 Followers,"4,671 posts"
https://x.com/SemperVeritasX,"Rogue Scholar/Musician/Philosopher, I joined Twitter to contribute to the discourse. A working class man, speaking truth to power.",12.7K Following,14.7K Followers,25.3K posts
https://x.com/Liberacrat,Exposing the abundant lies and hypocrisy of the liberal media industrial complex | DM’s open for submissions only.,597 Following,95.3K Followers,12.7K posts
https://x.com/EssexPR,"UK Broadcaster, #KNIVESDOWN campaigner 🔪 ⬇️  panelist 📺  📻 , boxer 🥊 ,Publican, 🍻 newbie YouTuber 🎥 , 📧 AdamBrooksMedia@outlook.com",117.2K Following,361.6K Followers,222.7K posts
https://x.com/sammywoodhouse1,Award-Winning Documentary: Out of the Shadows: Born from Rape • Best Selling Author ‘Just A Child’ • Activist • Exposed Exploitation & Corruption • Reporter.,"5,275 Following",85.6K Followers,26K posts
https://x.com/Keystones943,🦋 Wife and Mom 🦋 Ky Girl 🐎  ✨ #Ky4  🇺🇸 #MAGA  🇺🇸 #MAHA  🇺🇸 IFBAP 🇺🇸 Pronouns: Not/Today/Satan,"2,323 Following","1,265 Followers","8,829 posts"
https://x.com/MaretJaks,West is the Best. I make no apologies for our culture. It banned slavery & gave every adult the right to vote. Thank you to the past - let's protect our future.,"2,379 Following","3,411 Followers",40.4K posts
https://x.com/TheGasStovee,"I break stories, call out hypocrites and occasionally gaslight. AOC tried to ban me, jokes on her.","1,307 Following","9,000 Followers",17.1K posts
https://x.com/Bubblebathgirl,SAVE AMERICA NOW,60.6K Following,269K Followers,97.9K posts
https://x.com/ChampionsOTIce2,"Experience stories of heroes, monsters, and mayhem in the far flung future of mankind. 🇺🇲 Long Live the American Empire 🇺🇲",995 Following,"2,500 Followers",31K posts
https://x.com/Samuel_Culper33,Proud American thats ashamed and embarrased of our corrupt government.,456 Following,221 Followers,"4,142 posts"
https://x.com/EuropeanHerSoc,"For our people, and our heritage - / Highlander",293 Following,"4,529 Followers","1,119 posts"
https://x.com/RikkD4,"This account is near invisible 
Free Speech For All",621 Following,673 Followers,71.5K posts
https://x.com/ThisNowness,Environment ♡ MAHA □ Sobriety ● Christ Consciousness ☆ Fierce.Mother=Natural Immunity.  Best Husband.  Artist. Equine Pro.  PRESENCE ○ Test 5G ban EMF flooding.,536 Following,442 Followers,"8,497 posts"
https://x.com/MRSlimabeansNO,"whatever you’ve done that’s good, do more of it.",186 Following,325 Followers,"6,044 posts"
https://x.com/WorldHallOfFun,"MAGA 🇺🇸 , Trump","1,264 Following",41.4K Followers,"2,666 posts"
https://x.com/Trump4547_2025,Donald J. Trump showed the world on July 13 that he is the strongest man on Earth …….Admiration and respect for Elon Musk.,"7,488 Following","4,979 Followers",13.2K posts
https://x.com/redpillgoku,Patriot • Former FireFighter • Unfiltered • Journalism • Politics • Fitness • Self Development • Coach RPG,"1,798 Following",27.8K Followers,25.2K posts
https://x.com/frogNscorpion,"I remember for you - 
Critically, classically based",696 Following,74.2K Followers,19.6K posts
https://x.com/1111Sophia1111,"British digital soldier, singer-songwriter, Christ is king! Cancelled & banned for sharing TRUTH! Founder of #BritsForTrump My pronouns are Trump/Won/Swivel","2,114 Following","5,500 Followers","6,481 posts"
https://x.com/alanknit,🇺🇸 Founder & Former CEO of NASDAQ $PHUN | #Bitcoin | Army Ranger | Entrepreneur | Angel Investor | #Cane | Father of 7 | Husband | 💎 🙌 💎 🥜 | ⚡️ | $MSTR .,"4,222 Following",11.3K Followers,175.3K posts
https://x.com/NGengop,All kinds of videos ! …,448 Following,"6,352 Followers",11.1K posts
https://x.com/CrazyVibes_1,Daily posting positive content 😊,176 Following,45.9K Followers,32.3K posts
https://x.com/NeuroRadOnc,Mission in life:  Be useful.  Solve problems.  Love freely.  Lead others.  Think creatively.  Show kindness.  Inspire change.  Do the impossible.,16 Following,429 Followers,"1,423 posts"
https://x.com/unleaded_92,"im a shadow. my head is in a box

NONE OF MY TWEETS SHOULD BE TAKEN SERIOUSLY.","1,136 Following",99 Followers,"6,808 posts"
https://x.com/John31278424475,,440 Following,8 Followers,29 posts
https://x.com/SperozReign,Free yourself #Bitcoin,24 Following,5 Followers,150 posts
https://x.com/SeigeOutdoors,SEIGE OUTDOORS on Rumble/YT....Fishing...Farming…Golf...CHRIST IS KING! 🚜 🐟 🐂 🍁 🥩 🍳,198 Following,"1,172 Followers",44.2K posts
https://x.com/TraceyC39085999,"Fibromyalgia, diabetes, and COPD, asthma and mental illness, FND  diabetes neuropathy","5,187 Following",928 Followers,"1,334 posts"
https://x.com/gordonbcampbell,"Dad, husband, Tesla fan boy. Marvel fan boy, Star wars fan boy.",165 Following,66 Followers,"2,326 posts"
https://x.com/StoneJAlex,Host of The Alex Stone Show | Follower of Jesus | Adopted Nephew of Roger Stone | Inquiries: askastone1@gmail.com,"9,503 Following",62.1K Followers,28.2K posts
https://x.com/munn_Fara,"Owner of HTS Engineering, Health Facility Consultant and Project Manager",641 Following,82 Followers,488 posts
https://x.com/Inevitablewest,"Defender of Western values and culture. Embracing heritage, strength, and unity. Follow to uphold the legacy of the West! Jesus Christ is King.",611 Following,146.3K Followers,"3,040 posts"
https://x.com/JeepSurfHotTub,,687 Following,181 Followers,"7,064 posts"
https://x.com/ValentinaForUSA,"Christ is King | Financier | MBA | Fmr Div 1 Swimmer |  I speak the truth, cook the crooks, and save children | 📧 valentinaforusa@gmail.com",383 Following,383.2K Followers,25.8K posts
https://x.com/AmyMek,"Unbounded and unowned, an investigative journalist. Join our international movement. Sign up for","3,653 Following",445K Followers,63.5K posts
https://x.com/TRUMP_ARMY_,"The Best is yet to come!
President Trump Supporter!
Thanks for Voting President Trump!! 🚨 Breaking News Daily!! 
Turn on 🔔 Notification for latest news!!
IFBAP",158K Following,379.2K Followers,113.3K posts
https://x.com/TheIcemanCT,"Orlando Magic, Scuderia Ferrari #MakeItMagic","2,086 Following",896 Followers,33.1K posts
https://x.com/TheMytic3,Futures Trader - Seeker of Truth,137 Following,98 Followers,"1,559 posts"
https://x.com/HansMahncke,"The great thieves lead away the little thief.

Book:",796 Following,150.3K Followers,57.9K posts
https://x.com/iel46405,,75 Following,22 Followers,"2,993 posts"
https://x.com/CommonManPhilo,"Documentary producer, archeology enthusiast, Christian, caver. Media Producer. Followed by . Very proud of this achievement",888 Following,"1,108 Followers","1,594 posts"
https://x.com/TeslaAIBot,My name is Optimus • Parody • All subscribers will get a follow from me 😈,373 Following,110.7K Followers,39.3K posts
https://x.com/theofficial_mrx,🇺🇸 Political ComMEMEtator - Monetized 🇺🇸  📕 Daily #AmericanHistory and $DOGE Coin Tipper 📕 Followed by &  #MAGA  $TSLA,"3,007 Following","5,911 Followers",17K posts
https://x.com/LanceVader,"Fools mock, but they shall be blocked.","1,848 Following","1,192 Followers",89.9K posts
https://x.com/StefD_84,"In my way, I embrace 'America First' principles, prioritizing the nation's welfare, fostering total discipline, and upholding only our heritage's integrity. 🖕",425 Following,70 Followers,"2,099 posts"
https://x.com/ferguson_a84809,,8 Following,2 Followers,40 posts
https://x.com/glass_it,"Developer, father helping businesses and consumers see online price history with Glass It Price Tracker. Sign up to monitor prices and get alerts from #glassit",513 Following,"4,835 Followers",20.1K posts
https://x.com/AvonandsomerRob,"British Patriot. Interested in US/UK Politics. Free speech realist.
Memes, Food, Fun 🇬🇧  🇺🇸  🇦🇺  🇨🇦",68.5K Following,95.4K Followers,156K posts
https://x.com/evasavagiou,"just a delusional girl collecting cute memes, future ceo of X, and next president of D.O.G.E 🚀",63 Following,613.1K Followers,19.6K posts
https://x.com/ctjlewis,Smell Ethics PhD . Prev  . Almae matres   .,16.5K Following,32.6K Followers,56K posts
https://x.com/HadykEM,"🌈 Love Adam Lambert,Forestella,Lucifer+Tom Ellis,Käärijä,Meat Loaf,MCR,Pentatonix,LP,Oomph!, Blowsight,Elvis,30STM,Maneskin,Jedward,Angelina Jordan... 🏳️‍🌈",326 Following,592 Followers,67.5K posts
