post_url,reply_to_url,quote_to_url,user_url,moment_of_scrape,reply_count,repost_count,like_count,bookmark_count,view_count,spreading_rate in %
https://x.com/RealSamRoseAuth/status/1875030829535265232,https://x.com/envisionalt7/status/1875008142569812111,,https://x.com/RealSamRoseAuth,"('2025-01-03 13:06:10',)",4,5,43,0,740,1.216
https://x.com/RoyceHood/status/1875010636268335298,https://x.com/envisionalt7/status/1875008142569812111,,https://x.com/RoyceHood,"('2025-01-03 13:06:10',)",2,4,27,0,837,0.717
https://x.com/RaeRaeSloan8/status/1875009665345687726,https://x.com/envisionalt7/status/1875008142569812111,,https://x.com/RaeRaeSloan8,"('2025-01-03 13:06:10',)",2,3,24,2,1162,0.43
https://x.com/tammky/status/1875017477505355923,https://x.com/envisionalt7/status/1875008142569812111,,https://x.com/tammky,"('2025-01-03 13:06:10',)",3,0,19,2,910,0.33
https://x.com/nicksortor/status/1875005944360214807,https://x.com/envisionalt7/status/1875008142569812111,,https://x.com/nicksortor,"('2025-01-03 13:06:12',)",1117,2092,8713,1171,862378,0.372
https://x.com/envisionalt7/status/1875008142569812111,,,https://x.com/envisionalt7,"('2025-01-03 13:06:10',)",34,108,381,44,13774,1.031
https://x.com/elonmusk/status/1875011265783119981,https://x.com/nicksortor/status/1875005944360214807,,https://x.com/elonmusk,"('2025-01-03 13:06:53',)",558,314,4252,79,250401,0.348
https://x.com/Brick_Suit/status/1875009740339827171,https://x.com/nicksortor/status/1875005944360214807,,https://x.com/Brick_Suit,"('2025-01-03 13:06:53',)",42,34,996,11,43172,0.176
https://x.com/GuntherEagleman/status/1875006088111894564,https://x.com/nicksortor/status/1875005944360214807,,https://x.com/GuntherEagleman,"('2025-01-03 13:06:53',)",66,48,2007,3,56356,0.202
https://x.com/IWashington/status/1875006407969497234,https://x.com/nicksortor/status/1875005944360214807,,https://x.com/IWashington,"('2025-01-03 13:06:53',)",15,15,645,4,40530,0.074
https://x.com/anonemoose25/status/1875019620228448719,https://x.com/nicksortor/status/1875005944360214807,,https://x.com/anonemoose25,"('2025-01-03 13:06:53',)",3,0,0,0,600,0.5
https://x.com/AllegedlyJack/status/1875043346617696309,https://x.com/nicksortor/status/1875005944360214807,,https://x.com/AllegedlyJack,"('2025-01-03 13:06:53',)",3,0,0,0,1295,0.232
https://x.com/HalcyonHypnotic/status/1875020335428546751,https://x.com/nicksortor/status/1875005944360214807,,https://x.com/HalcyonHypnotic,"('2025-01-03 13:06:55',)",2,0,3,0,577,0.347
https://x.com/xnlou1337/status/1875008187130421628,https://x.com/nicksortor/status/1875005944360214807,,https://x.com/xnlou1337,"('2025-01-03 13:06:55',)",2,0,4,0,1604,0.125
https://x.com/Turtlenumber13/status/1875022936798871682,https://x.com/nicksortor/status/1875005944360214807,,https://x.com/Turtlenumber13,"('2025-01-03 13:06:57',)",2,0,6,0,725,0.276
https://x.com/CynicalPublius/status/1875028346502873186,https://x.com/nicksortor/status/1875005944360214807,,https://x.com/CynicalPublius,"('2025-01-03 13:06:58',)",137,80,723,22,31833,0.682
https://x.com/OscarEnjoylife/status/1875012094640415006,https://x.com/nicksortor/status/1875005944360214807,,https://x.com/OscarEnjoylife,"('2025-01-03 13:06:58',)",4,0,3,2,6883,0.058
https://x.com/spaethon/status/1875031624855048312,https://x.com/nicksortor/status/1875005944360214807,,https://x.com/spaethon,"('2025-01-03 13:06:59',)",4,0,15,0,724,0.552
https://x.com/johnnyn37340951/status/1875008479108477104,https://x.com/nicksortor/status/1875005944360214807,,https://x.com/johnnyn37340951,"('2025-01-03 13:06:59',)",3,0,2,0,326,0.92
https://x.com/chieffishell/status/1875012070883942850,https://x.com/nicksortor/status/1875005944360214807,,https://x.com/chieffishell,"('2025-01-03 13:07:01',)",4,3,21,0,10581,0.066
https://x.com/nicksortor/status/1875018517335933047,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/nicksortor,"('2025-01-03 13:07:08',)",180,142,1461,77,97063,0.332
https://x.com/TaraBull808/status/1875013614459126235,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/TaraBull808,"('2025-01-03 13:07:08',)",18,14,255,0,10991,0.291
https://x.com/JaredMarsh_816/status/1875012160222646529,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/JaredMarsh_816,"('2025-01-03 13:07:08',)",3,2,55,3,2499,0.2
https://x.com/TSLA4orphans/status/1875014817637122259,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/TSLA4orphans,"('2025-01-03 13:07:10',)",2,0,0,0,626,0.319
https://x.com/bonchieredstate/status/1875011388336439578,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/bonchieredstate,"('2025-01-03 13:07:11',)",6,3,52,0,5445,0.165
https://x.com/Jarrettmike7809/status/1875011450823176307,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/Jarrettmike7809,"('2025-01-03 13:07:11',)",19,0,34,0,4190,0.453
https://x.com/Jenny_IDLYITW/status/1875013949927928032,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/Jenny_IDLYITW,"('2025-01-03 13:07:11',)",2,0,0,0,1126,0.178
https://x.com/MrKazzzzy/status/1875020043379188113,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/MrKazzzzy,"('2025-01-03 13:07:11',)",6,0,6,0,1345,0.446
https://x.com/LordPente/status/1875031545586614546,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/LordPente,"('2025-01-03 13:07:13',)",4,0,0,0,841,0.476
https://x.com/operative007/status/1875015687074431020,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/operative007,"('2025-01-03 13:07:13',)",2,0,0,0,635,0.315
https://x.com/Xmade/status/1875011450156286346,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/Xmade,"('2025-01-03 13:07:13',)",11,0,24,0,1944,0.566
https://x.com/Liberacrat/status/1875011497170235698,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/Liberacrat,"('2025-01-03 13:07:18',)",6,4,101,0,4597,0.218
https://x.com/johnEiid/status/1875011587855221066,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/johnEiid,"('2025-01-03 13:07:18',)",12,17,112,6,4986,0.582
https://x.com/LeftismForU/status/1875018485962793288,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/LeftismForU,"('2025-01-03 13:07:19',)",7,2,9,0,1093,0.823
https://x.com/Jenny_IDLYITW/status/1875016658924048830,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/Jenny_IDLYITW,"('2025-01-03 13:07:19',)",3,9,34,4,993,1.208
https://x.com/slave_2_liberty/status/1875106117593997417,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/slave_2_liberty,"('2025-01-03 13:07:20',)",3,0,6,0,277,1.083
https://x.com/jessalanfields/status/1875011441792782578,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/jessalanfields,"('2025-01-03 13:07:22',)",2,0,11,0,2258,0.089
https://x.com/FireSlayer928/status/1875011693488771476,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/FireSlayer928,"('2025-01-03 13:07:22',)",3,0,4,0,687,0.437
https://x.com/me_maridu/status/1875012056048668687,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/me_maridu,"('2025-01-03 13:07:22',)",3,4,90,2,1518,0.461
https://x.com/universexy69/status/1875013832990761289,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/universexy69,"('2025-01-03 13:07:34',)",2,0,6,0,474,0.422
https://x.com/Shire68083Jesse/status/1875011897759818193,https://x.com/elonmusk/status/1875011265783119981,,https://x.com/Shire68083Jesse,"('2025-01-03 13:07:36',)",4,0,15,0,738,0.542
https://x.com/AriTeman/status/1875055558589653414,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/AriTeman,"('2025-01-03 13:07:45',)",13,8,88,5,5042,0.417
https://x.com/Blessed_Patriot/status/1875019699563769932,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/Blessed_Patriot,"('2025-01-03 13:07:45',)",13,3,73,4,9610,0.166
https://x.com/occupyheaven777/status/1875063451963568196,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/occupyheaven777,"('2025-01-03 13:07:45',)",5,0,4,0,1993,0.251
https://x.com/EFAS67/status/1875027971762995556,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/EFAS67,"('2025-01-03 13:07:45',)",2,0,73,0,3363,0.059
https://x.com/EarthMarsTitan/status/1875018779203338380,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/EarthMarsTitan,"('2025-01-03 13:07:45',)",15,5,91,4,7307,0.274
https://x.com/GinnyCurb/status/1875020937478955031,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/GinnyCurb,"('2025-01-03 13:07:45',)",6,0,16,0,8621,0.07
https://x.com/realdivergents/status/1875019117532766587,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/realdivergents,"('2025-01-03 13:07:45',)",3,0,9,0,6630,0.045
https://x.com/Alavei9/status/1875027025989406988,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/Alavei9,"('2025-01-03 13:07:46',)",5,0,69,0,6738,0.074
https://x.com/notabotjustasim/status/1875037489930596471,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/notabotjustasim,"('2025-01-03 13:07:46',)",3,2,19,2,3417,0.146
https://x.com/LaCadutaDiRoma/status/1875019103293034782,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/LaCadutaDiRoma,"('2025-01-03 13:07:46',)",2,0,26,0,2160,0.093
https://x.com/FivelCubed/status/1875019501504430425,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/FivelCubed,"('2025-01-03 13:07:46',)",3,0,44,0,2504,0.12
https://x.com/FBCowboysQueen/status/1875031859140440530,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/FBCowboysQueen,"('2025-01-03 13:07:48',)",3,0,2,0,2741,0.109
https://x.com/krassenparody/status/1875019115901211063,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/krassenparody,"('2025-01-03 13:07:48',)",4,0,2,0,1481,0.27
https://x.com/DawnM486401/status/1875038532118454517,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/DawnM486401,"('2025-01-03 13:07:49',)",6,8,112,4,5147,0.272
https://x.com/NumberWonTwice/status/1875019365084746005,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/NumberWonTwice,"('2025-01-03 13:07:49',)",4,8,139,4,8601,0.14
https://x.com/flyingbearjew/status/1875022824693469557,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/flyingbearjew,"('2025-01-03 13:07:49',)",2,0,6,0,3365,0.059
https://x.com/__C0ldbrew__/status/1875055185879278067,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/__C0ldbrew__,"('2025-01-03 13:07:49',)",4,0,36,0,996,0.402
https://x.com/RannXerox/status/1875023921784692923,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/RannXerox,"('2025-01-03 13:07:49',)",8,30,183,7,5010,0.758
https://x.com/TheNostalgicDA/status/1875039438394589407,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/TheNostalgicDA,"('2025-01-03 13:07:49',)",2,0,6,0,430,0.465
https://x.com/Nocte_Insanire/status/1875020515943084337,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/Nocte_Insanire,"('2025-01-03 13:07:50',)",3,0,23,0,1351,0.222
https://x.com/AngelinaReagan7/status/1875019233241034949,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/AngelinaReagan7,"('2025-01-03 13:07:52',)",2,0,27,0,1258,0.159
https://x.com/lmevans411/status/1875019562753855824,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/lmevans411,"('2025-01-03 13:07:52',)",2,2,52,0,2237,0.179
https://x.com/JimmyMack0320/status/1875019696719974679,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/JimmyMack0320,"('2025-01-03 13:07:53',)",2,2,28,0,1480,0.27
https://x.com/RagnarockLothbr/status/1875020342315622619,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/RagnarockLothbr,"('2025-01-03 13:07:53',)",3,2,37,0,3319,0.151
https://x.com/Joseph93488523/status/1875030545999998998,https://x.com/nicksortor/status/1875018517335933047,,https://x.com/Joseph93488523,"('2025-01-03 13:07:54',)",9,21,129,6,3798,0.79
