user_url,user_description,following_count,followers_count,posts_amount
https://x.com/Bubblebathgirl,SAVE AMERICA NOW,60.6K Following,269.6K Followers,98.1K posts
https://x.com/letmeserveyou,Retired law enforcement officer 👮 Army veteran 🪖 Jesus first ✝️ Family second 🧑 ‍ 🧑 ‍ 🧒 ‍ 🧒 Country third 🇺🇸  #GodBlessAmerica  #MAGA  #TrumpIsMyPresident  #USA,14.1K Following,14.1K Followers,22.9K posts
https://x.com/OneBadDude_,Don’t fuck with the USA 🇺🇸,70.4K Following,177K Followers,185.7K posts
https://x.com/Cookie_BigRick,"#1A  #2A If you don't understand the 1st, look at the 2nd.This is our last chance to take back our country. Bring back America's greatness. NH. Live Free or Die.","6,054 Following","4,963 Followers",123.4K posts
https://x.com/realdefender45,"Kaity 🇺🇸 Defender of Freedom, Truth & Justice 🇺🇸 Director at Latinos For America First. WakeupNJ Somerset Cty Chair","4,245 Following",161.2K Followers,25.1K posts
https://x.com/magab2023,🚨 #LeaveTheChildrenAlone 🚨  🔥 🇺🇲 #AmericaFirst 🇺🇲 🔥 🤠  🔥 💃 Pronouns:take/your meds 🖕 🤠  🇺🇲 ❤️ 🖕 Deprogram this 🖕 🇺🇲 ❤️  🐝 🦋 Social butterfly w/ a stinger 🦋 🐝,19K Following,20.4K Followers,73.7K posts
https://x.com/MarcMenninger,Helping you escape your crappy job & transition into an exciting cybersecurity career in only 2 hrs/day | LinkedIn Learning instructor | Career coach,"1,036 Following","1,969 Followers","2,986 posts"
https://x.com/troopranger,Roll Tide. Love the Jewish People ✡️  💙  🇮🇱 MAGA,811 Following,696 Followers,"5,299 posts"
https://x.com/stanf145,🇺🇸 Love our Constitutional Republic 🙏 ❤️ That tree of Liberty,"2,019 Following","1,523 Followers",15.3K posts
https://x.com/loglibofficial,"I say the quiet part out loud. ✨ We twist truth, celebrate chaos, and call it justice—not because it’s right, but because it’s power. Progress is control. 🌈 🔥","1,535 Following",489 Followers,"1,836 posts"
https://x.com/TaraBull808,#SpacesHost | Truth Slayer | ↗️ I follow all Subscribers • Let's end the establishment media • ʟɪꜱᴛᴇɴ ᴡɪᴛʜ ᴄᴜʀɪᴏꜱɪᴛʏ. ꜱᴘᴇᴀᴋ ᴡɪᴛʜ ʜᴏɴᴇꜱᴛʏ. ᴀᴄᴛ ᴡɪᴛʜ ɪɴᴛᴇɢʀɪᴛʏ.,22.8K Following,1.1M Followers,85.6K posts
